Page / Section,English,Sinhala (සිංහල),Tamil (தமிழ்)
"INSTRUCTIONS","Fill in the Sinhala and Tamil columns. Do NOT translate brand names (Needly / Needlyy), district names, or category data. Keep {placeholders} and numbers as-is.","",""
"Home — Hero","Sri Lanka's #1 Service Marketplace","",""
"Home — Hero","Find trusted local pros, book in seconds.","",""
"Home — Hero","From web developers to plumbers, tutors to wedding photographers — discover verified sellers across every category.","",""
"Home — Hero","What service are you looking for?","",""
"Home — Hero","Search","",""
"Home — Hero","Matching services","",""
"Home — Hero","Popular searches","",""
"Home — Hero","Browse all categories","",""
"Home — Hero","Verified Sellers","",""
"Home — Hero","Secure Payments","",""
"Home — Hero","24/7 Support","",""
"Home — Hero","Avg Rating","",""
"Home — Hero","Active Sellers","",""
"Home — Hero","Tasks Done","",""
"Home — Hero","Categories","",""
"Home — Categories","Popular categories","",""
"Home — Categories","Browse the most loved services on Needlyy.","",""
"Home — Categories","See all","",""
"Home — Categories","Browse","",""
"Home — How It Works","How it works","",""
"Home — How It Works","From idea to done in 3 simple steps","",""
"Home — How It Works","No subscriptions. No hidden fees. Just great local service.","",""
"Home — How It Works","Find","",""
"Home — How It Works","Search across 100+ categories or browse top-rated sellers near you.","",""
"Home — How It Works","Book & Chat","",""
"Home — How It Works","Compare quotes, message sellers and book in seconds — securely.","",""
"Home — How It Works","Get it Done","",""
"Home — How It Works","Your pro completes the job. Pay safely and rate your experience.","",""
"Home — How It Works","Start Browsing Services","",""
"Home — Trust","Trust & Safety","",""
"Home — Trust","Your safety is our top priority","",""
"Home — Trust","Needly is built for Sri Lanka — with local verification, Sinhala & Tamil support, and real human backing to make every booking stress-free.","",""
"Home — Trust","Verified Sellers","",""
"Home — Trust","Every seller goes through our ID verification process. Look for the blue verified badge on all trusted profiles.","",""
"Home — Trust","Secure Payments","",""
"Home — Trust","Your payment is held in escrow and only released after you confirm the job is done to your satisfaction.","",""
"Home — Trust","Customer Protection","",""
"Home — Trust","All verified bookings are covered by Needly's Customer Protection Program up to Rs. 20,000.","",""
"Home — Trust","24/7 Support","",""
"Home — Trust","Our local support team is available via WhatsApp, hotline, and email to resolve any issues fast.","",""
"Home — Trust","4.9 Avg Rating","",""
"Home — Trust","18,000+ Users","",""
"Home — Trust","Secure Platform","",""
"Home — Trust","Browse Verified Pros","",""
"Home — Trust","Needly Customer Protection — up to Rs. 20,000","",""
"Home — Trust","If a verified booking doesn't go as planned, we step in. Report a dispute within 3 days of service completion and our team handles it — no hassle, no stress.","",""
"Home — Trust","Learn more","",""
"Home — Stats","Active Sellers","",""
"Home — Stats","Tasks Completed","",""
"Home — Stats","Categories","",""
"Home — Stats","Average Rating","",""
"Home — Seller CTA","Earnings Calculator","",""
"Home — Seller CTA","How much could you earn?","",""
"Home — Seller CTA","See your estimated income based on your skill and availability.","",""
"Home — Seller CTA","Your Category","",""
"Home — Seller CTA","Hours per Week","",""
"Home — Seller CTA","Average {category} rate: Rs. {rate} / hr","",""
"Home — Seller CTA","Estimated Monthly Income","",""
"Home — Seller CTA","{amount} / week","",""
"Home — Seller CTA","After 8% platform fee","",""
"Home — Seller CTA","Start Earning Today","",""
"Home — Seller CTA","Grow Fast","",""
"Home — Seller CTA","Reach thousands of buyers from day one across all 25 Sri Lanka districts.","",""
"Home — Seller CTA","Secure Payouts","",""
"Home — Seller CTA","Get paid safely via bank transfer or wallet. Weekly payouts, no delays.","",""
"Home — Seller CTA","Work on your terms","",""
"Home — Seller CTA","Set your own hours, prices and availability. Pause anytime.","",""
"Home — Seller CTA","Verified Profile","",""
"Home — Seller CTA","Stand out with the trusted Needlyy badge after a quick ID check.","",""
"Home — Seller CTA","2,500+ sellers earning on Needlyy","",""
"Home — Seller CTA","Average seller earns Rs. 45,000/month","",""
"Home — Seller CTA","Seller rating","",""
"Home — FAQ","FAQ","",""
"Home — FAQ","Common questions","",""
"Home — FAQ","Everything you need to know about buying and selling on Needlyy.","",""
"Home — FAQ","How do I know a seller is trustworthy?","",""
"Home — FAQ","Every seller on Needlyy goes through a multi-step verification process — ID check, background screening, and skills assessment. Verified sellers carry a blue badge on their profile. You can also read real reviews from past buyers before booking.","",""
"Home — FAQ","What happens if a seller doesn't show up?","",""
"Home — FAQ","Your payment is protected by the Needlyy Guarantee. If a seller no-shows or doesn't complete the job, you're eligible for a full refund. You can also raise a dispute through your buyer dashboard and our team will resolve it within 24 hours.","",""
"Home — FAQ","How do I pay? What methods are accepted?","",""
"Home — FAQ","You can pay by card (Visa/Mastercard), bank transfer, PayHere, Needlyy Wallet, or cash on service delivery. All digital payments are processed securely. We never store your card details — they're handled by PCI-compliant payment processors.","",""
"Home — FAQ","Can I get quotes before committing to a booking?","",""
"Home — FAQ","Yes — use the Post a Request feature to describe your job and budget. Verified sellers will send you quotes directly. You compare, choose, and only pay when you're ready. There's no obligation to accept any quote.","",""
"Home — FAQ","How does the Emergency service work?","",""
"Home — FAQ","For urgent situations like pipe bursts, electrical faults, or lockouts — visit /emergency, select your issue, and we'll dispatch the nearest available verified pro within minutes. Surge pricing applies for after-hours emergencies.","",""
"Home — FAQ","I'm living overseas. Can I still use Needlyy?","",""
